timestamp,step,client_id,title,nip,field,old_value,new_value,source,status
20260521-161439,step1,0da7df94-22ae-40dc-8725-6395181296c7,Domek Sushi Przemysław Kowalski,1231562224,address,(empty),"ŻEGLIŃSKIEGO 21, 05-500 PIASECZNO",vat_data.residenceAddress,planned_dry
20260521-161439,step1,a77a8983-f567-42a1-8744-d36cd8b519bc,CONTINENTAL GROUP PL SPÓŁKA Z OGRANICZONĄ ODPOWIED,7773358078,address,(empty),"JANA HENRYKA DĄBROWSKIEGO 29/U4C, 60-840 POZNAŃ",vat_data.workingAddress,planned_dry
20260521-161439,step1,a77a8983-f567-42a1-8744-d36cd8b519bc,CONTINENTAL GROUP PL SPÓŁKA Z OGRANICZONĄ ODPOWIED,7773358078,city,(empty),POZNAŃ,vat_data.workingAddress,planned_dry
20260521-161439,step1,287043b1-4a2a-49f9-842a-a965a474fcf4,Imperial ,6711742992,city,(empty),KOŁOBRZEG,vat_data.workingAddress,planned_dry
20260521-161439,step1,3c348bc9-0c12-486b-9a9b-9d9db4097d51,"BEKANIX SZEWCZYK BEATA, KANIK DOMINIK SPÓŁKA CYWIL",8982242191,address,(empty),"NOWOWIEJSKA 25/1A, 50-314 WROCŁAW",vat_data.workingAddress,planned_dry
20260521-161439,step1,3c348bc9-0c12-486b-9a9b-9d9db4097d51,"BEKANIX SZEWCZYK BEATA, KANIK DOMINIK SPÓŁKA CYWIL",8982242191,city,(empty),WROCŁAW,vat_data.workingAddress,planned_dry
20260521-161439,step1,8c549ece-5bd0-42bb-9b0b-880dc0dc6a73,CONTINENTAL GROUP PL SPÓŁKA Z OGRANICZONĄ ODPOWIED,7773358078,address,(empty),"JANA HENRYKA DĄBROWSKIEGO 29/U4C, 60-840 POZNAŃ",vat_data.workingAddress,planned_dry
20260521-161439,step1,8c549ece-5bd0-42bb-9b0b-880dc0dc6a73,CONTINENTAL GROUP PL SPÓŁKA Z OGRANICZONĄ ODPOWIED,7773358078,city,(empty),POZNAŃ,vat_data.workingAddress,planned_dry
20260521-161439,step1,b8697d1e-5ab7-4125-8f91-22e8df30e06a,MIRADO GROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚC,5214089218,address,(empty),"KIELECKA 41A/8, 02-530 WARSZAWA",vat_data.workingAddress,planned_dry
20260521-161439,step1,fa1cc034-a748-4dc4-aa51-2502cdc82e1a,"""AGRO-MATIMPEX"" - SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIA",6941533766,address,(empty),"SOKOŁOWIEC 124, 59-540 SOKOŁOWIEC",vat_data.workingAddress,planned_dry
20260521-161439,step1,fa1cc034-a748-4dc4-aa51-2502cdc82e1a,"""AGRO-MATIMPEX"" - SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIA",6941533766,city,(empty),SOKOŁOWIEC,vat_data.workingAddress,planned_dry
20260521-161439,step1,60d9266f-b2f1-464a-b310-c49f9bd6a5c7,GRUPA PRODUCENTÓW WARZYW AGRO GROUP SPÓŁKA Z OGRAN,8381734558,address,(empty),"MRÓWCZA 50, 04-857 WARSZAWA",vat_data.workingAddress,planned_dry
20260521-161439,step1,60d9266f-b2f1-464a-b310-c49f9bd6a5c7,GRUPA PRODUCENTÓW WARZYW AGRO GROUP SPÓŁKA Z OGRAN,8381734558,city,(empty),WARSZAWA,vat_data.workingAddress,planned_dry
20260521-161439,step1,9769047d-fbd1-4356-a745-75e55de046a6,KRAJ Market,6192063205,city,(empty),KĘPNO,vat_data.workingAddress,planned_dry
20260521-161439,step1,5bbd3b1a-403c-4afc-8644-b356e0a99fcc,MOLFAR,5242630322,city,(empty),WARSZAWA,vat_data.residenceAddress,planned_dry
20260521-161439,step1,7a5e4538-c70c-454d-a41c-2206dc0b844e,PAVLO DOROSHENKO (Smakołyki Wschodnie),5993280236,city,(empty),MIĘDZYRZECZ,vat_data.residenceAddress,planned_dry
20260521-161439,step1,4bb7280c-a3cb-49e9-92bf-23d45bc8522b,CD PROJEKT S.A.,7342867148,address,(empty),"JAGIELLOŃSKA 74, 03-301 WARSZAWA",vat_data.workingAddress,planned_dry
20260521-161439,step1,4bb7280c-a3cb-49e9-92bf-23d45bc8522b,CD PROJEKT S.A.,7342867148,city,(empty),WARSZAWA,vat_data.workingAddress,planned_dry
20260521-161439,step1,8ccbde2b-7640-45a6-b886-b128fdb12762,Olha Hrushak Sklep Spożywczy GRUSZKA,6692568285,address,(empty),"BAŁTYCKA 36A, 75-330 KOSZALIN",vat_data.residenceAddress,planned_dry
20260521-161439,step1,8ccbde2b-7640-45a6-b886-b128fdb12762,Olha Hrushak Sklep Spożywczy GRUSZKA,6692568285,city,(empty),KOSZALIN,vat_data.residenceAddress,planned_dry
20260521-161439,step1,b55daebf-df87-467c-a6e5-ef4805b41f64,Oleg Anikin,5732874439,city,(empty),SŁUBICE,vat_data.residenceAddress,planned_dry
20260521-161439,step1,760f9021-2161-471d-8c63-27e4dc9341bf,Sklepik Władysław Matuszewski,9521948373,address,(empty),"WŁADYSŁAWA REYMONTA 34/27, 01-842 WARSZAWA",vat_data.residenceAddress,planned_dry
20260521-161439,step1,760f9021-2161-471d-8c63-27e4dc9341bf,Sklepik Władysław Matuszewski,9521948373,city,(empty),WARSZAWA,vat_data.residenceAddress,planned_dry
20260521-161439,step1,db7d5df8-4410-405d-ae83-1971dd073178,DENYS LISNIAK,7882043296,address,(empty),"ADAMA MICKIEWICZA 17, 64-300 NOWY TOMYŚL",vat_data.residenceAddress,planned_dry
20260521-161439,step1,db7d5df8-4410-405d-ae83-1971dd073178,DENYS LISNIAK,7882043296,city,(empty),NOWY TOMYŚL,vat_data.residenceAddress,planned_dry
20260521-161439,step1,aa6ba106-87cc-48c7-ba22-135e02f35141,CONTINENTAL GROUP PL SPÓŁKA Z OGRANICZONĄ ODPOWIED,7773358078,address,(empty),"JANA HENRYKA DĄBROWSKIEGO 29/U4C, 60-840 POZNAŃ",vat_data.workingAddress,planned_dry
20260521-161439,step1,aa6ba106-87cc-48c7-ba22-135e02f35141,CONTINENTAL GROUP PL SPÓŁKA Z OGRANICZONĄ ODPOWIED,7773358078,city,(empty),POZNAŃ,vat_data.workingAddress,planned_dry
20260521-161439,step1,762afb64-b5b0-4722-a802-14e928d48b9e,CONTINENTAL GROUP PL SPÓŁKA Z OGRANICZONĄ ODPOWIED,7773358078,address,(empty),"JANA HENRYKA DĄBROWSKIEGO 29/U4C, 60-840 POZNAŃ",vat_data.workingAddress,planned_dry
20260521-161439,step1,762afb64-b5b0-4722-a802-14e928d48b9e,CONTINENTAL GROUP PL SPÓŁKA Z OGRANICZONĄ ODPOWIED,7773358078,city,(empty),POZNAŃ,vat_data.workingAddress,planned_dry
20260521-161439,step1,0085da3c-0632-4d0f-9d05-a0fcf8572e1c,JEŻ JEdzenie Zdrowe Oksana Petryshcheva,5361954901,address,(empty),"POZNAŃSKA 98, 05-850 BRONISZE",vat_data.residenceAddress,planned_dry
20260521-161439,step1,0085da3c-0632-4d0f-9d05-a0fcf8572e1c,JEŻ JEdzenie Zdrowe Oksana Petryshcheva,5361954901,city,(empty),BRONISZE,vat_data.residenceAddress,planned_dry
20260521-161439,step1,ad1153ab-bb40-4f01-b29b-4c7746c73250,NAVARA-GO RADOSŁAW GOŁUBOWSKI,5422453057,address,(empty),"JERZEGO WASZYNGTONA 14/25, 15-269 BIAŁYSTOK",vat_data.residenceAddress,planned_dry
20260521-161439,step1,ad1153ab-bb40-4f01-b29b-4c7746c73250,NAVARA-GO RADOSŁAW GOŁUBOWSKI,5422453057,city,(empty),BIAŁYSTOK,vat_data.residenceAddress,planned_dry
20260521-161439,step1,5a5d0b70-ca06-4f1d-b183-db60ab449689,JAŚ-MAR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,9681015058,address,(empty),"BOGDANÓW 1, 62-840 BOGDANÓW",vat_data.workingAddress,planned_dry
